,Unnamed: 0.1,Unnamed: 0,variable,label,formula,ltdb,ncdb,census_1990_form,census_1990_table_column,census_2000_form,census_2000_table_column,acs,census_2020_table,census_2020_notes,category,notes
14,14,14,n_other_language,persons who speak language other than English at home,,olang,,SF3,P0310002:26,SF3,P019001 - (P019025+P019003+P019047),B16001_001E - B16001_002E,,,Ethnicity & Immigration,Construct census 2000 count by subtraction from P019001
15,15,15,n_limited_english,persons who speak English not well,,lep,,SF3,P0280004+P0280007+P0280010+P0280014+P0280017+P0280020+P0280024+P0280027+P0280030,SF3,P019022+P019023+P019029+P019013+P019012+P019017+P019018+P019007+P019008+P019061+P019062+P019067+P019066+P019052+P019051+P019057+P019056+P019040+P019045+P019044+P019030+P019039+P019035+P019034,DP02_0113E,,,Ethnicity & Immigration,"[ljw] cant tell if this includes ""speak other Languages"" as a catchall or if that is a pre-crosstab"
16,16,16,n_russian_born_pop,persons who were born in Russia/ USSR,,rufb,,,,SF3,PCT019026,B05006_040E,,,Ethnicity & Immigration,"[ek] this is STF4 in 1990, so not available from the API"
17,17,17,n_italian_born_pop,persons who were born in Italy,,itfb,,,,SF3,PCT019016,B05006_023E,,,Ethnicity & Immigration,"[ek] this is STF4 in 1990, so not available from the API"
18,18,18,n_german_born_pop,persons who were born in Germany,,gefb,,,,SF3,PCT019011,B05006_017E,,,Ethnicity & Immigration,"[ek] this is STF4 in 1990, so not available from the API"
19,19,19,n_irish_born_pop,persons who were born in Ireland,,irfb,,,,SF3,PCT019005,B05006_008E,,,Ethnicity & Immigration,"[ek] this is STF4 in 1990, so not available from the API"
20,20,20,n_scandaniavian_born_pop,persons who were born in Scandinavian Countries,,scfb,,,,SF3,PCT019006+PCT019007,B05006_009E+B05006_010E+B05006_011E+B05006_012E,,,Ethnicity & Immigration,"[ek] this is STF4 in 1990, so not available from the API"
21,21,21,p_mexican_pop,percentage of persons of Mexican parentage or ancestry,p_mexican_pop=n_mexican_pop / n_total_pop*100,pmex,,,,,,,,,Ethnicity & Immigration,
22,22,22,p_cuban_pop,percentage of persons of Cuban parentage or ancestry,p_cuban_pop=n_cuban_pop / n_total_pop*100,pcuban,,,,,,,,,Ethnicity & Immigration,
23,23,23,p_puerto_rican_pop,percentage of persons of Puerto Rican parentage or ancestry,p_puerto_rican_pop=n_puerto_rican_pop / n_total_pop*100,ppr,,,,,,,,,Ethnicity & Immigration,
24,24,24,p_russian_pop,percentage of persons of Russian/USSR parentage or ancestry,p_russian_pop=n_russian_pop / n_total_pop*100,pruanc,,,,,,,,,Ethnicity & Immigration,
25,25,25,p_italian_pop,percentage of persons of Italian parentage or ancestry,p_italian_pop=n_italian_pop / n_total_pop*100,pitanc,,,,,,,,,Ethnicity & Immigration,
26,26,26,p_german_pop,percentage of persons of German parentage or ancestry,p_german_pop=n_german_pop / n_total_pop*100,pgeanc,,,,,,,,,Ethnicity & Immigration,
27,27,27,p_irish_pop,percentage of persons of Irish parentage or ancestry,p_irish_pop=n_irish_pop / n_total_pop*100,piranc,,,,,,,,,Ethnicity & Immigration,
28,28,28,p_scandanavian_pop,percentage of persons of Scandinavian parentage/ancestry,p_scandanavian_pop=n_scandaniavian_pop / n_total_pop*100,pscanc,,,,,,,,,Ethnicity & Immigration,
29,29,29,p_foreign_born_pop,percentage of foreign-born,p_foreign_born_pop=n_foreign_born_pop / n_total_pop*100,pfb,SHRFOR,,,,,,,,Ethnicity & Immigration,
30,30,30,p_recent_immigrant_pop,percentage of recent immigrants (within the past 10 years),p_recent_immigrant_pop=n_recent_immigrant_pop / n_total_pop*100,p10imm,,,,,,,,,Ethnicity & Immigration,
31,31,31,p_naturalized_pop,percentage of naturalized foreign-born,p_naturalized_pop=n_naturalized_pop / n_total_pop*100,pnat,,,,,,,,,Ethnicity & Immigration,
32,32,32,p_other_language,percentage of persons who speak language other than English at home,p_other_language=n_other_language / n_total_pop*100,polang,,,,,,,,,Ethnicity & Immigration,
33,33,33,p_limited_english,percentage of persons who speak English not well,p_limited_english=n_limited_english / n_total_pop*100,plep,,,,,,,,,Ethnicity & Immigration,
34,34,34,p_russian_born_pop,percentage of persons who were born in Russia/ USSR,p_russian_born_pop=n_russian_born_pop / n_total_pop*100,prufb,,,,,,,,,Ethnicity & Immigration,
35,35,35,p_italian_born_pop,percentage of persons who were born in Italy,p_italian_born_pop=n_italian_born_pop / n_total_pop*100,pitfb,,,,,,,,,Ethnicity & Immigration,
36,36,36,p_german_born_pop,percentage of persons who were born in Germany,p_german_born_pop=n_german_born_pop / n_total_pop*100,pgefb,,,,,,,,,Ethnicity & Immigration,
37,37,37,p_irish_born_pop,percentage of persons who were born in Ireland,p_irish_born_pop=n_irish_born_pop / n_total_pop*100,pirfb,,,,,,,,,Ethnicity & Immigration,
38,38,38,p_scandanavian_born_pop,percentage of persons who were born in Scandinavian Countries,p_scandanavian_born_pop=n_scandaniavian_born_pop / n_total_pop*100,pscfb,,,,,,,,,Ethnicity & Immigration,
39,39,39,n_total_housing_units,housing units,,hu,TOTHSUN,SF1,H0010001,SF1,H001001,B25002_001E,,,"Housing, Age, & Marital Status",
40,40,40,n_vacant_housing_units,vacant housing units,,vac,VACHU,SF1,H0020002,SF1,H003003,B25002_003E,,,"Housing, Age, & Marital Status",divide by B25002_001E for vacancy rate
41,41,41,n_occupied_housing_units,occupied housing units,,ohu,OCCHU,SF1,H0020001,SF1,H003002,B25002_002E,,,"Housing, Age, & Marital Status",
42,42,42,n_owner_occupied_housing_units,owner-occupied housing units,,own,OWNOCC,SF1,H0030001,SF1,H004002,B25003_002E,,,"Housing, Age, & Marital Status",
43,43,43,n_renter_occupied_housing_units,renter-occupied housing units,,rent,RNTOCC,SF1,H0030002,SF1,H004003,B25003_003E,,,"Housing, Age, & Marital Status",
44,44,44,n_housing_units_multiunit_structures_denom,housing units denom,n_housing_units_multiunit_structures_denom=n_total_housing_units,dmulti,,,,,,B25024_001E,,,"Housing, Age, & Marital Status",
45,45,45,n_housing_units_multiunit_structures,housing units in multi-unit structures,,multi,,,,SF3,H030004+H030005+H030006+H030007+H030008+H030009,B25024_004E+B25024_005E+B25024_006E+B25024_007E+B25024_008E+B25024_009E,,,"Housing, Age, & Marital Status",[ljw] LTDB is unclear as to the relevant computed column from SF3-H030*. Recorded columns here are all stationary housing units (not mobile home (H030010) or RV/Van/Boat (H030011)
46,46,46,n_total_housing_units_sample,housing units in sample-based data,n_total_housing_units_sample=n_total_housing_units,husp,,,,,,B25024_001E,,,"Housing, Age, & Marital Status",
47,47,47,median_home_value,Median home value,,mhmval,MDVALHS,SF3,H061A001,SF3,H085001,B25077_001E,,,"Housing, Age, & Marital Status",
48,48,48,median_contract_rent,Median monthly contract rent,,mrent,MDGRENT,SF3,H043A001,SF3,H056001,B25058_001E,,,"Housing, Age, & Marital Status",
49,49,49,n_structures_30_old,structures built more than 30 years ago,,h30old,,SF3,H0250005+H0250006+H0250007+H0250008,SF3,H034010+H034009+H034008+H034007,,,,"Housing, Age, & Marital Status",
50,50,50,n_occupied_housing_units_sample,occupied housing units in sample-based data,,ohusp,,SF3,H0040001,SF3,H006001,B25003_001E,,,"Housing, Age, & Marital Status",
51,51,51,n_household_recent_move,household heads moved into unit less than 10 years ago,,h10yrs,,SF3,H0250006+H0250007+H0250008,SF3,H038003+H038004+H038005+H038010+H038011+H038012,,,,"Housing, Age, & Marital Status",
52,52,52,n_persons_under_18,persons age 17 years and under,,a18und,NCHILD,SF3,P0130012+P0130011+P0130010+P0130009+P0130008+P0130007+P0130006+P0130005+P0130004+P0130003+P0130002+P0130001,SF1,P012003+P012004+P012005+P012006+P012027+P012028+P012029+P012030,B01001_003E+B01001_004E+B01001_005E+B01001_006E+B01001_027E+B01001_028E+B01001_029E+B01001_030E,,,"Housing, Age, & Marital Status",
53,53,53,n_persons_over_60,persons age 60 years and over,,a60up,,SF3,P0130025+P0130026+P0130027+P0130028+P0130029+P0130030+P0130031,SF1,P012018:025+ P012042:049,B01001_018E+B01001_019E+B01001_020E+B01001_021E+B01001_022E+B01001_023E+B01001_024E+B01001_025E+B01001_042E+B01001_043E+B01001_044E+B01001_045E+B01001_046E+B01001_047E+B01001_048E+B01001_049E,,,"Housing, Age, & Marital Status",
54,54,54,n_persons_over_75,persons age 75 years and over,,a75up,,SF3,P0130029+P0130030+P0130031,SF1,P012023:25+ P012047:49,B01001_047E+B01001_048E+B01001_049E+B01001_023E+B01001_024E+B01001_025E,,,"Housing, Age, & Marital Status",
55,55,55,n_persons_over_15,population 15 years and over,,ag15up,PERS15P,SF3,P0130010+P0130011+P0130012+P0130013+P0130014+P0130015+P0130016+P0130017+P0130018+P0130019+P0130020+P0130021+P0130022+P0130023+P0130024+P0130025+P0130026+P0130027+P0130028+P0130029+P0130030+P0130031,SF3,P018001,B12001_001E,,,"Housing, Age, & Marital Status",
56,56,56,n_persons_over_25,population 25 years and over,,ag25up,,SF3,P0130018+P0130019+P0130020+P0130021+P0130022+P0130023+P0130024+P0130025+P0130026+P0130027+P0130028+P0130029+P0130030+P0130031,SF3,P037001,B15002_001E,,,"Housing, Age, & Marital Status",denominator for educational attainment
57,57,57,n_married,currently married (excluding separated),,mar,MMARSPP,SF3,P0250001+P0250002,SF3,(P018004+P018013) - (P018007+P018016),B12001_005E,,,"Housing, Age, & Marital Status",
58,58,58,n_widowed_divorced,"widowed, divorced, and separated",,wds,,SF3,P0270005+P0270011+P0270006+P0270012,SF3,P018007+P018009+P018010+P018016+P018018+P018019,B12001_007E+B12001_009E+B12001_010E+B12001_016E+B12001_018E+B12001_019E,,,"Housing, Age, & Marital Status",
59,59,59,n_total_families,total families,,family,FAMSUB,SF3,P0040001,SF1,P031001,B17010_001E,,,"Housing, Age, & Marital Status",denominator for calculating % female-headed families w/ children
60,60,60,n_female_headed_families,female-headed families with children,,fhh,NFFH,SF3,P0190005,SF1,P035016,B17010_017E,,,"Housing, Age, & Marital Status",numerator for calculating % female-headed families w/ children
61,61,61,p_vacant_housing_units,percentage of vacant housing units,p_vacant_housing_units=n_vacant_housing_units / n_total_housing_units*100,pvac,,,,,,,,,"Housing, Age, & Marital Status",
62,62,62,p_owner_occupied_units,percentage of owner-occupied housing units,p_owner_occupied_units=n_occupied_housing_units / n_total_housing_units*100,pown,,,,,,,,,"Housing, Age, & Marital Status",
63,63,63,p_housing_units_multiunit_structures,percentage of housing units in multi-unit structures,p_housing_units_multiunit_structures=n_housing_units_multiunit_structures / n_housing_units_multiunit_structures_denom*100,pmulti,,,,,,,,,"Housing, Age, & Marital Status",
64,64,64,p_structures_30_old,percentage of structures built more than 30 years ago,p_structures_30_old=n_structures_30_old / n_housing_units_multiunit_structures_denom*100,p30old,,,,,,,,,"Housing, Age, & Marital Status",
65,65,65,p_household_recent_move,percentage of household heads moved into unit less than 10 years ago,p_household_recent_move=n_household_recent_move / n_total_households*100,p10yrs,,,,,,,,,"Housing, Age, & Marital Status",
66,66,66,p_persons_under_18,percentage of persons age 17 years and under,p_persons_under_18=n_persons_under_18 / n_total_pop*100,p18und,,,,,,,,,"Housing, Age, & Marital Status",
67,67,67,p_persons_over_60,percentage of persons age 60 years and over,p_persons_over_60=n_persons_over_60 / n_total_pop*100,p60up,,,,,,,,,"Housing, Age, & Marital Status",
68,68,68,p_persons_over_75,percentage of persons age 75 years and over,p_persons_over_75=n_persons_over_75 / n_total_pop*100,p75up,,,,,,,,,"Housing, Age, & Marital Status",
69,69,69,p_married,percent currently married (excluding separated),p_married=n_married / n_persons_over_15*100,pmar,,,,,,,,,"Housing, Age, & Marital Status",
70,70,70,p_widowed_divorced,"percent widowed, divorced, and separated",p_widowed_divorced=n_widowed_divorced / n_persons_over_15*100,pwds,,,,,,,,,"Housing, Age, & Marital Status",should denom be families or individuals?
71,71,71,p_female_headed_families,percentage of female-headed families with children,p_female_headed_families=n_female_headed_families / n_total_families*100,pfhh,,,,,,,,,"Housing, Age, & Marital Status",should denom be families or individuals?
72,72,72,n_white_persons,persons of white race,,white,NSHRWHT,SF1,P0100001+P0100006,SF1,P003003,,,,Race & Age,"[ljw] inferring here, documentation suggests this is only available for 1970, but white alone (regardless of hispanic) gives this count? [ek] I think the question about hispanic ethnicity was added in 1980, so this is the best they can do to measdure the 'white alone' construct in 1970 "
73,73,73,n_nonhisp_white_persons,"persons of white race, not Hispanic origin",,nhwht,NSHRNHW,SF1,P0100001,SF1,P004005,B03002_003E,,,Race & Age,"[ljw] I read this as P004005 (not hispanic white alone), not P003003 (white alone)"
74,74,74,n_black_persons,persons of black race,,black,NSHRBLK,SF1,P0100007+P0100002,SF1,P003004,,,,Race & Age, 
75,75,75,n_nonhisp_black_persons,"persons of black race, not Hispanic origin",,nhblk,NSHRNHB,SF1,P0100002,SF1,P004006,B03002_004E,,,Race & Age,
76,76,76,n_hispanic_persons,persons of Hispanic origin,,hisp,NSHRHSP,SF1,P0080001,SF1,P004002,B03002_012E,,,Race & Age,
77,77,77,n_native_persons,"persons of Native American race, not Hispanic origin",,ntv,NSHRAMI,SF1,P0070003,SF1,P004007,B03002_005E,,,Race & Age,is this nonhispanic?
78,78,78,n_hawaiian_persons,"persons of Hawaiian race, not Hispanic origin",,haw,NSHRHIP,SF1,P0070017,SF1,P004009,B02001_006E,,,Race & Age,is this nonhispanic?
79,79,79,n_asian_indian_persons,persons of Asian Indian race,,india,,SF1,P0070009,SF1,PCT007002,B03002_006E+B03002_007E,,,Race & Age,
80,80,80,n_chinese_persons,persons of Chinese race,,china,,SF1,P0070006,SF1,PCT007005+PCT007015,B02015_007E+B02015_020E,,,Race & Age,
81,81,81,n_filipino_persons,persons of Filipino race,,filip,,SF1,P0070007,SF1,PCT007006,B02015_008E,,,Race & Age,
82,82,82,n_japanese_persons,persons of Japanese race,,japan,,SF1,P0070008,SF1,PCT007009,B02015_011E,,,Race & Age,
83,83,83,n_korean_persons,persons of Korean race,,korea,,SF1,P0070010,SF1,PCT007010,B02015_012E,,,Race & Age,
84,84,84,n_asian_persons,persons of Asian race,,asian,,SF1,P0060004,SF1,P004008,B03002_006E+B03002_007E,,,Race & Age,for 1990 this is Asian and PI
85,85,85,n_vietnamese_persons,persons of Vietnamese race,,viet,,SF1,P0070011,SF1,PCT007017,B02018_022E,,,Race & Age,
86,86,86,n_white_age_distribution,white population with known age distribution,,agewht,,SF1,P0120001:62,SF1,PCT012I001,B01001H_001E,,,Race & Age,
87,87,87,n_white_under_15,0-15 years old of white race,,a15wht,,SF1,P0120001:09+P0120032:40,SF1,PCT012I003:018+PCT012I108:122,B01001H_003E+B01001H_004E+B01001H_005E+B01001H_018E+B01001H_019E+B01001H_020E,,,Race & Age,
88,88,88,n_white_over_60,60 years and older of white race,,a60wht,,SF1,P0120025:31+P0120056:62,SF1,PCT012I063:105+PCT012I167:209,,,,Race & Age,is this nonhispanic?
89,89,89,n_white_over_65,65 years and older of non-Hispanic whites,,a65wht,,SF1,P0120027:31+P0120058:62,SF1,PCT012I068:105+PCT012I172:209,B01001H_014E+B01001H_015E+B01001H_016E+B01001H_029E+B01001H_030E+B01001H_031E,,,Race & Age,
90,90,90,n_black_age_distribution,black population with known age distribution,,ageblk,,SF1,P0120063:0124,SF1,PCT012J001,B01001B_001E,,,Race & Age,
91,91,91,n_black_under_15,0-15 years old of black race,,a15blk,,SF1,P0120063:71+P0120094:102,SF1,PCT012J003:018+PCT012J108:122,B01001B_003E+B01001B_004E+B01001B_005E+B01001B_018E+B01001B_019E+B01001B_020E,,,Race & Age,
92,92,92,n_black_over_60,60 years and older of black race,,a60blk,,SF1,P0120087:93+P0120118:124,SF1,PCT012J063:105+PCT012J167:209,,,,Race & Age,
93,93,93,n_black_over_65,65 years and older of black race,,a65blk,,SF1,P0120089:93+P0120120:124,SF1,PCT012J068:105+PCT012J172:209,B01001B_014E+B01001B_015E+B01001B_016E+B01001B_029E+B01001B_030E+B01001B_031E,,,Race & Age,
94,94,94,n_hispanic_age_distribution,Hispanic population with known age distribution,,agehsp,,SF1,P0130001:62,SF1,PCT012H001,B01001I_001E,,,Race & Age,
95,95,95,n_hispanic_under_15,"0-15 years old, persons of Hispanic origins",,a15hsp,,SF1,P0130001:09+P0130032:40,SF1,PCT012H003:018+PCT012H108:122,B01001I_003E+B01001I_004E+B01001I_005E+B01001I_018E+B01001I_019E+B01001I_020E,,,Race & Age,
96,96,96,n_hispanic_over_60,"60 years and older, persons of Hispanic origins",,a60hsp,,SF1,P0130025:31+P0130056:62,SF1,PCT012H063:105+PCT012H167:209,,,,Race & Age,
97,97,97,n_hispanic_over_65,"65 years and older, persons of Hispanic origins",,a65hsp,,SF1,P0130027:31+P0130058:62,SF1,PCT012H068:105+PCT012H172:209,B01001I_014E+B01001I_015E+B01001I_016E+B01001I_029E+B01001I_030E+B01001I_031E,,,Race & Age,
98,98,98,n_native_age_distribution,Native American population with known age distribution,,agentv,,SF1,P0120125:186,SF1,PCT012K001,B01001C_001E,,,Race & Age,
99,99,99,n_native_under_15,0-15 years old of Native American race,,a15ntv,,SF1,P0120125:133 +P0120156:164,SF1,PCT012K003:018+PCT012K108:122,B01001C_003E+B01001C_004E+B01001C_005E+B01001C_018E+B01001C_019E+B01001C_020E,,,Race & Age,
100,100,100,n_native_over_60,60 years and older of Native American race,,a60ntv,,SF1,P0120149:155+P0120180:186,SF1,PCT012K063:105+PCT012K167:209,,,,Race & Age,
101,101,101,n_native_over_65,65 years and older of Native American race,,a65ntv,,SF1,P0120151:155+P0120182:186,SF1,PCT012K068:105+PCT012K172:209,B01001C_014E+B01001C_015E+B01001C_016E+B01001C_029E+B01001C_030E+B01001C_031E,,,Race & Age,
102,102,102,n_asian_age_distribution,Asian and Pacific Islander population with known age distribution,,ageasn,,SF1,P0120187:248,SF1,PCT012L001+PCT012M001,B01001D_001E+B01001E_001E,,,Race & Age,
103,103,103,n_asian_under_15,0-15 years old of Asians and Pacific Islanders,,a15asn,,SF1,P0120187:195+P0120218:226,SF1,PCT012M003:018+PCT012M108:122+PCT012L003:018+PCT012L108:122,B01001D_003E+B01001D_004E+B01001D_005E+B01001D_018E+B01001D_019E+B01001D_020E+B01001E_003E+B01001E_004E+B01001E_005E+B01001E_018E+B01001E_019E+B01001E_020E,,,Race & Age,
104,104,104,n_asian_over_60,60 years and older of Asians and Pacific Islanders,,a60asn,,,,SF1,PCT012M063:105+PCT012M167:209,,,,Race & Age,
105,105,105,n_asian_over_65,65 years and older of Asians and Pacific Islanders,,a65asn,,,,SF1,PCT012M068:105+PCT012M172:209+PCT012L068:105+PCT012L172:209,B01001D_014E+B01001D_015E+B01001D_016E+B01001E_014E+B01001E_015E+B01001E_016E+B01001E_029E+B01001E_030E+B01001E_031E+B01001D_029E+B01001D_030E+B01001D_031E,,,Race & Age,
106,106,106,p_white_persons,percentage of persons of white race,,pwhite,,,,,,,,,Race & Age,
107,107,107,p_black_persons,percentage of persons of black race,,pblack,,,,,,,,,Race & Age,
108,108,108,p_nonhisp_white_persons,"percentage of persons of white race, not Hispanic origin",p_nonhisp_white_persons=n_nonhisp_white_persons / n_total_pop*100,pnhwht,SHRNHW,,,,,,,,Race & Age,
109,109,109,p_nonhisp_black_persons,"percentage of persons of black race, not Hispanic origin",p_nonhisp_black_persons=n_nonhisp_black_persons / n_total_pop*100,pnhblk,SHRNHB,,,,,,,,Race & Age,
110,110,110,p_hispanic_persons,percentage of persons of Hispanic origin,p_hispanic_persons=n_hispanic_persons / n_total_pop*100,phisp,SHRHSP,,,,,,,,Race & Age,
111,111,111,p_native_persons,percentage of persons of Native American race,p_native_persons=n_native_persons / n_total_pop*100,pntv,SHRNHI,,,,,,,,Race & Age,
112,112,112,p_asian_persons,percentage of persons of Asian race (and Pacific Islander),p_asian_persons=n_asian_persons / n_total_pop*100,pasian,SHRNHR,,,,,,,,Race & Age,
113,113,113,p_hawaiian_persons,percentage of persons of Hawaiian race,p_hawaiian_persons=n_hawaiian_persons / n_total_pop*100,phaw,SHRNHH,,,,,,,,Race & Age,
114,114,114,p_asian_indian_persons,percentage of persons of Asian Indian race,p_asian_indian_persons=n_asian_indian_persons / n_total_pop*100,pindia,,,,,,,,,Race & Age,
115,115,115,p_chinese_persons,percentage of persons of Chinese race,p_chinese_persons=n_chinese_persons / n_total_pop*100,pchina,,,,,,,,,Race & Age,
116,116,116,p_filipino_persons,percentage of persons of Filipino race,p_filipino_persons=n_filipino_persons / n_total_pop*100,pfilip,,,,,,,,,Race & Age,
117,117,117,p_japanese_persons,percentage of persons of Japanese race,p_japanese_persons=n_japanese_persons / n_total_pop*100,pjapan,,,,,,,,,Race & Age,
118,118,118,p_korean_persons,percentage of persons of Korean race,p_korean_persons=n_korean_persons / n_total_pop*100,pkorea,,,,,,,,,Race & Age,
119,119,119,p_vietnamese_persons,percentage of persons of Vietnamese race,p_vietnamese_persons=n_vietnamese_persons / n_total_pop*100,pviet,,,,,,,,,Race & Age,
120,120,120,p_white_under_15,percentage of 0-15 years old of white race,p_white_under_15=n_white_under_15 / n_total_pop*100,p15wht,,,,,,,,,Race & Age,
121,121,121,p_white_over_60,percentage of 60 years and older of white race,p_white_over_60=n_white_over_60 / n_total_pop*100,p60wht,,,,,,,,,Race & Age,
122,122,122,p_white_over_65,percentage of 65 years and older of non-Hispanic whites,p_white_over_65=n_white_over_65 / n_total_pop*100,p65wht,,,,,,,,,Race & Age,
123,123,123,p_black_under_15,percentage of 0-15 years old of black race,p_black_under_15=n_black_under_15 / n_total_pop*100,p15blk,,,,,,,,,Race & Age,
124,124,124,p_black_over_60,percentage of 60 years and older of black race,p_black_over_60=n_black_over_60 / n_total_pop*100,p60blk,,,,,,,,,Race & Age,
125,125,125,p_black_over_65,percentage of 65 years and older of black race,p_black_over_65=n_black_over_65 / n_total_pop*100,p65blk,,,,,,,,,Race & Age,
126,126,126,p_hispanic_under_15,"percentage of 0-15 years old, persons of Hispanic origins",p_hispanic_under_15=n_hispanic_under_15 / n_total_pop*100,p15hsp,,,,,,,,,Race & Age,
127,127,127,p_hispanic_over_60,"percentage of 60 years and older, persons of Hispanic origins",p_hispanic_over_60=n_hispanic_over_60 / n_total_pop*100,p60hsp,,,,,,,,,Race & Age,
128,128,128,p_hispanic_over_65,"percentage of 65 years and older, persons of Hispanic origins",p_hispanic_over_65=n_hispanic_over_65 / n_total_pop*100,p65hsp,,,,,,,,,Race & Age,
129,129,129,p_native_under_15,percentage of 0-15 years old of Native American race,p_native_under_15=n_native_under_15 / n_total_pop*100,p15ntv,,,,,,,,,Race & Age,
130,130,130,p_native_over_60,percentage of 60 years and older of Native American race,p_native_over_60=n_native_over_60 / n_total_pop*100,p60ntv,,,,,,,,,Race & Age,
131,131,131,p_native_over_65,percentage of 65 years and older of Native American race,p_native_over_65=n_native_over_65 / n_total_pop*100,p65ntv,,,,,,,,,Race & Age,
132,132,132,p_asian_under_15,percentage of 0-15 years old of Asians and Pacific Islanders,p_asian_under_15=n_asian_under_15 / n_total_pop*100,p15asn,,,,,,,,,Race & Age,
133,133,133,p_asian_over_60,percentage of 60 years and older of Asians and Pacific Islanders,p_asian_over_60=n_asian_over_60 / n_total_pop*100,p60asn,,,,,,,,,Race & Age,
134,134,134,p_asian_over_65,percentage of 65 years and older of Asians and Pacific Islanders,p_asian_over_65=n_asian_over_65 / n_total_pop*100,p65asn,,,,,,,,,Race & Age,
135,135,135,n_female_over_16,"females 16 years and over, except in armed forces",,dflabf,DCFEPR,SF3,P0700006+P0700007+P0700008,SF3,P043012,,,,Socioeconomic Status,
136,136,136,n_female_labor_force,females in labor force,,flabf,FEPR,SF3,P0700006+P0700007,SF3,P043010,,,,Socioeconomic Status,
137,137,137,n_labor_force,civilian labor force,,clf,,SF3,P0700002+P0700003+P0700006+P0700007,SF3,P043005+P043012,B27011_002E,,,Socioeconomic Status,
138,138,138,n_unemployed_persons,unemployed persons,,unemp,,SF3,P0700003+P0700007,SF3,P043007+P043014,B23001_008E+B23001_015E+B23001_022E+B23001_029E+B23001_036E+B23001_044E+B23001_050E+B23001_057E+B23001_064E+B23001_071E+B23001_094E+B23001_101E+B23001_108E+B23001_115E+B23001_122E+B23001_129E+B23001_136E+B23001_143E+B23001_150E+B23001_157E,,,Socioeconomic Status,
139,139,139,n_employed_over_16,employed persons 16 years and over,,empclf,EMPMT,SF3,P0700002+P0700006,SF3,P049001,B23001_007E+B23001_014E+B23001_021E+B23001_028E+B23001_035E+B23001_042E+B23001_049E+B23001_049E+B23001_056E+B23001_063E+B23001_070E+B23001_093E+B23001_100E+B23001_107E+B23001_114E+B23001_121E+B23001_128E+B23001_135E+B23001_142E+B23001_149E+B23001_156E,,,Socioeconomic Status,
140,140,140,n_employed_professional,professional employees (by occupations),,prof,DLFRAT,SF3,P0780001+P0780002,SF3,P049017+P049044,,,,Socioeconomic Status,
141,141,141,n_employed_manufacturing,manufacturing employees (by industries),,manuf,PRFEMP,SF3,P0770004+P0770005,SF3,P049007+P049034,,,,Socioeconomic Status,
142,142,142,n_employed_self_employed,self-employed,,semp,,SF3,P0790006,SF3,P051012+P051023+P051033+P051044+P051055+P051065,,,,Socioeconomic Status,
