seq,code,variable,short_name,full_name
07-Feb,irancXX,p_irish_pop,% Irish parentage/ancestry,percentage of persons of Irish parentage or ancestry
08-Feb,scancXX,p_scandanavian_pop,% Scandinavian parentage/ancestry,percentage of persons of Scandinavian parentage/ancestry
09-Feb,fbXX,p_foreign_born_pop,% foreign born,percentage of foreign-born
10-Feb,n10immXX,p_recent_immigrant_pop,% immigrated in past 10 years,percentage of recent immigrants (within the past 10 years)
11-Feb,natXX,p_naturalized_pop,% Naturalized,percentage of naturalized foreign-born
12-Feb,olangXX,p_other_language,"% speaking other language at home, age 5+",percentage of persons who speak language other than English at home
13-Feb,lepXX,p_limited_english,"% speaking English not well, age 5+",percentage of persons who speak English not well
14-Feb,rufbXX,p_russian_born_pop,% Russian/USSR birth,percentage of persons who were born in Russia/ USSR
15-Feb,itfbXX,p_italian_born_pop,% Italian birth,percentage of persons who were born in Italy
16-Feb,gefbXX,p_german_born_pop,% German birth,percentage of persons who were born in Germany
17-Feb,irfbXX,p_irish_born_pop,% Irish birth,percentage of persons who were born in Ireland
18-Feb,scfbXX,p_scandanavian_born_pop,% Scandinavian birth,percentage of persons who were born in Scandinavian Countries
01-Mar,hsXX,p_edu_hs_less,% with high school degree or less,percentage of persons with high school degree or less
02-Mar,colXX,p_edu_college_greater,% with 4-year college degree or more,percentage of persons with at least a four-year college degree
03-Mar,unempXX,p_unemployment_rate,% unemployed,percent unemployed
04-Mar,flabfXX,p_female_labor_force,% female labor force participation,percentage of females in labor force
05-Mar,profXX,p_employed_professional,% professional employees,percentage of professional employees (by occupations)
06-Mar,manufXX,p_employed_manufacturing,% manufacturing employees,percentage of manufacturing employees (by industries)
07-Mar,sempXX,p_employed_self_employed,% self-employed,percentage of self-employed
08-Mar,vetXX,p_veterans,% veteran,percentage of veterans
09-Mar,disXX,p_disabled,% with disability,percent with disability
10-Mar,hincXX,median_household_income,"Median HH income, total",Median household income
11-Mar,hincwXX,median_income_whitehh,"Median HH income, whites",Median household income for whites
12-Mar,hincbXX,median_income_blackhh,"Median HH income, blacks",Median household income for blacks
13-Mar,hinchXX,median_income_hispanichh,"Median HH income, Hispanics",Median household income for Hispanics
14-Mar,hincaXX,median_income_asianhh,"Median HH income, Asian/ Pacific Islanders",Median household income for Asians and Pacific Islanders
15-Mar,incpcXX,per_capita_income,Per capita income,Per capita income
16-Mar,npovXX,p_poverty_rate,"% in poverty, total",percent poor
17-Mar,n65povXX,p_poverty_rate_over_65,"% in poverty, 65+",percentage of 65 years and older in poverty
18-Mar,nfmpovXX,p_poverty_rate_children,"% in poverty, families with children",percentage of families with children in poverty
19-Mar,nwpovXX,p_poverty_rate_white,"% in poverty, whites",percentage of whites in poverty
20-Mar,nbpovXX,p_poverty_rate_black,"% in poverty, African Americans",percentage of whites in poverty
21-Mar,nhpovXX,p_poverty_rate_hispanic,"% in poverty, Hispanics",percentage of Hispanics in poverty
22-Mar,nnapovXX,p_poverty_rate_native,"% in poverty, Native Americans",percentage of Native Americans in poverty
23-Mar,napovXX,p_poverty_rate_asian,"% in poverty, Asian/ Pacific Islanders",percentage of Asian and Pacific Islanders in poverty
01-Apr,vacXX,p_vacant_housing_units,% vacant units,percentage of vacant housing units
02-Apr,ownXX,p_owner_occupied_units,% owner-occupied units,percentage of owner-occupied housing units
03-Apr,multiXX,p_housing_units_multiunit_structures,% multi-family units,percentage of housing units in multi-unit structures
04-Apr,mhmvalXX,median_home_value,Median home value,Median home value
05-Apr,mrentXX,median_contract_rent,Median rent,Median monthly contract rent
06-Apr,h30oldXX,p_structures_30_old,% structures more than 30 years old,percentage of structures built more than 30 years ago
07-Apr,h10yrsXX,p_household_recent_move,% HH in neighborhood 10 years or less,percentage of household heads moved into unit less than 10 years ago
08-Apr,a18undXX,p_persons_under_18,"% 17 and under, total",percentage of persons age 17 years and under
09-Apr,a60upXX,p_persons_over_60,"% 60 and older, total",percentage of persons age 60 years and over
10-Apr,a75upXX,p_persons_over_75,"% 75 and older, total",percentage of persons age 75 years and over
11-Apr,marXX,p_married,"% currently married, not separated",percent currently married (excluding separated)
12-Apr,wdsXX,p_widowed_divorced,"% widowed, divorced and separated","percent widowed, divorced, and separated"
13-Apr,fhhXX,p_female_headed_families,% female-headed families with children,percentage of female-headed families with children
